Flight_ID,Airline,Source,Destination,Departure_Date,Departure_Time,Arrival_Time,Duration,Total_Stops,Distance_km,Travel_Class,Days_Before_Departure,Season,Weekday,Aircraft_Type,Booking_Channel,Passenger_Count,Price
FL170741,British Airways,Goa,Singapore,2026-06-06,3:35 PM,8:47 PM,5h 12m,non-stop,3668.7,Economy,1,Monsoon,Saturday,Boeing 787 Dreamliner,Website,3,45232.17
FL160685,Thai Airways,Hyderabad Airport,Frankfurt,,5:20 AM,4:54 PM,11h 35m,1,7315.0,Economy,29,Monsoon,Monday,Airbus A320,Third-Party,5,60834.23
FL160408,british airways,New York,Pune,2025-01-25,06:15,00:34,1100 min,1 stop,12709.2,Business,12,Winter,Saturday,Airbus A350,Mobile App,6,200000
FL192010,Vistara,Frankfurt,Delhi Airport,,03:30,12:13 PM,8h 44m,0,6415.6,Premium Economy,154,Monsoon,Saturday,Airbus A320,Third-Party,2,
FL181806,SpiceJet,Pune,Chennai,2025-02-24,10:05 PM,03:17,,2 stops,929.5,Premium Economy,108,Winter,Monday,Boeing 737,Travel Agent,3,5641.59
FL122855,AirAsia India,Delhi Airport,Bangalore,2025-03-01,10:05,12:57,2.87,0,1846.4,,144,Summer,Saturday,Airbus A320,Third-Party,,7728.77
FL173024,Etihad Airways,Bangalore Airport,London,2025-11-06,14:35,03:30,12h 55m,1,8394.7,Premium Economy,,Autumn,Thursday,Airbus A380,Travel Agent,2,192241.44
FL114529,VISTARA,Kolkata,Delhi,2026-06-10,07:25,09:40,2h 15m,0,1369.1,Economy,34,Monsoon,Wednesday,ATR 72,Website,2,5653.87
FL157668,airasia india,PNQ,Jaipur,2025-05-19,19:20,21:04,1h 44m,0,965.8,Premium Economy,4,,Monday,Boeing 737,Website,1,7790.63
FL128524,Emirates,Dubai Airport,Frankfurt Airport,2026-02-22,05:20,12:07,6h 47m,0,4901.2,Economy,136,Winter,Sunday,Boeing 777,,4,71618.92
FL116022,Air India,Frankfurt Airport,Goa Airport,2025-09-20,7:15 AM,18:45,11h 31m,1 stop,7461.3,,10,Monsoon,Saturday,Airbus A320,Travel Agent,1,200000
FL126883,Air India,Mumbai,HYD,2025-07-21,2:45 PM,16:05,1h 21m,0,662.2,First,34,Monsoon,Monday,ATR 72,Website,2,11471.77
FL151552,GoFirst,Bangalore,JAI,2026-10-12,10:45 PM,01:24,2.65,0,,Business,39,Autumn,Monday,Airbus A321,Third-Party,,20189.11
FL183247,Singapore Airlines,Chennai,DOH,2025-04-10,23:20,5:14 AM,5h 54m,1 stop,3341.3,Premium Economy,79,Summer,Thursday,Boeing 787 Dreamliner,Travel Agent,2,50192.81
FL133035,Indigo,Delhi,Bangalore,2025-12-06,08:00,10:44,2h 44m,non-stop,1747.4,Economy,98 days,Winter,Saturday,ATR 72,Mobile App,3,5500.93
FL118606,Qatar Airways,Dubai,BOM,2026-02-24,12:25 AM,3:29 AM,3h 04m,0,2002.2,Economy,63,Winter,Tuesday,Airbus A350,,2,22666.22
FL185404,AirAsia India,Chennai,Hyderabad,2026-04-04,06:10,7:20 AM,1h 11m,non-stop,528.9,Economy,41,Summer,Saturday,Airbus A321,Mobile App,,2151.22
FL145455,air india,Goa,Hyderabad Airport,2025-11-22,01:10,4:04 AM,2h 55m,1 stop,550.1,Economy,44,Autumn,Saturday,Airbus A320,Mobile App,3,2613.68
FL180331,Singapore Airlines,London,Kolkata Airport,2025-02-15,00:40,1:05 PM,746 min,1 stop,8094.7,Economy,179,Winter,Saturday,Airbus A320,Website,4,99771.05
FL147289,AIR INDIA,New York Airport,,2025-12-16,19:55,14:24,,0,14033.5,Economy,10,Winter,Tuesday,Boeing 787 Dreamliner,Website,4,133632.93
FL180657,SpiceJet,Pune Airport,Chennai,2025-05-30,4:15 PM,5:58 PM,103 min,0,953.1,Economy,8,Summer,Friday,Boeing 737,Third-Party,,4372.44
FL104846,Singapore Airlines,HYD,SYD,2026-01-24,15:25,,15h 17m,1 stop,10218.6,Economy,31,Winter,Saturday,Airbus A380,Travel Agent,4,122076.78
FL111372,Emirates,SYD,Doha,2025-06-30,02:35,22:41,20h 07m,2,12776.3,Economy,7 days,Monsoon,Monday,Airbus A350,Website,1,98363.51
FL144518,Air India,Frankfurt,Kolkata,2025-03-01,10:10,20:37,10h 28m,non-stop,7770.8,Economy,19,Summer,Saturday,Airbus A350,Mobile App,2,67991.87
FL170054,LUFTHANSA,Ahmedabad,Bangkok,2026-01-25,22:20,04:12,5h 52m,1 stop,3313.1,Premium Economy,5,Winter,Sunday,Airbus A380,Website,2,78393.62
FL138392,AirAsia India,Bangalore,Ahmedabad,2026-04-27,07:40,11:24,3.74,1 stop,1324.8,Economy,13,Summer,Monday,Boeing 737,Website,2,8593.95
FL104997,AIR INDIA,Mumbai,Pune,,18:10,6:55 PM,0h 45m,non-stop,150,Premium Economy,,Monsoon,Wednesday,Airbus A321,Website,2,2000
FL151150,SpiceJet,Bangalore,Delhi,2026-11-07,1:40 PM,6:00 PM,,,1813.4 km,,6,Autumn,Saturday,Airbus A321,Mobile App,1,
FL161926,Singapore Airlines,London,PNQ,2026-09-02,7:35 AM,20:43,13h 08m,2 stops,7387.4,Economy,1,Monsoon,Wednesday,Boeing 787 Dreamliner,Airport Counter,2,99155.7
FL124562,Singapore Airlines,Hyderabad,Sydney,2026-06-29,6:40 AM,21:48,,2 stops,9596.8,Business,92,Monsoon,Monday,Boeing 777,Mobile App,1,200000
FL155696,Indigo,Ahmedabad,HYD,2026-03-12,09:15,12:38,204 min,1,901.5,Economy,17,Summer,Thursday,Airbus A320,Mobile App,2,5765.77
FL133720,Vistara,BLR,Kolkata Airport,2026-01-13,00:05,3:54 AM,3h 49m,1,1608.6,,25,Winter,Tuesday,Boeing 737,Airport Counter,1,25000
FL128935,Emirates,Singapore,AMD,2025-11-24,2:15 PM,22:05,7h 50m,1,4387.8,Premium Economy,4,Autumn,Monday,Airbus A350,Third-Party,3,63626.0
FL190916,British Airways,Dubai,Sydney Airport,2026-06-01,,,17h 13m,1,12145.5,First,8,Monsoon,Monday,Airbus A380,,2,200000
FL144804,Qatar Airways,London,SYD,2026-09-13,5:35 AM,05:17,1422 min,1,17134.1,Premium Economy,18,Monsoon,Sunday,Airbus A320,Airport Counter,2,"Rs. 200,000.00"
FL160515,AirAsia India,Goa,DEL,2025-10-03,19:15,,2h 35m,non-stop,1627.9,Premium Economy,56,Autumn,Friday,Airbus A321,Website,1,9934.76
FL121949,Indigo,Delhi,JAI,2025-08-11,14:40,,0h 49m,0,,Business,3,Monsoon,Monday,Airbus A321,Mobile App,5,4670.72
FL146415,GoFirst,Mumbai,Delhi Airport,2026-07-06,22:15,12:15 AM,121 min,non-stop,1178.2,Economy,54,Monsoon,Monday,Airbus A321,Mobile App,four,4986.48
FL137416,British Airways,Frankfurt Airport,Singapore,,22:35,12:28 PM,13h 54m,non-stop,10450.8,Economy,21,Winter,Sunday,,Website,2,148750.53
FL140938,QATAR AIRWAYS,CCU,Doha,2026-03-29,,11:01,6h 51m,1 stop,3752.4,Economy,1,Summer,Sunday,Boeing 777,Mobile App,3,70254.28
FL130153,Emirates,Goa,Frankfurt,2026-06-27,21:45,7:32 AM,9h 47m,0,7241.2,Economy,4,Monsoon,Saturday,Airbus A350,Mobile App,1,102997.11
FL171586,Etihad Airways,Bangalore,Doha,2026-04-03,06:45,11:23,4h 39m,0,3233.5,Economy,135,,Friday,Boeing 787 Dreamliner,Website,2,45880.23
FL131538,AirAsia India,Delhi,Goa,2026-07-22,4:45 PM,7:14 PM,2h 29m,0,1551.3,Economy,27,Monsoon,Wednesday,Boeing 737,Website,2,8358.69
FL142257,,BLR,Singapore,2026-07-21,11:10,15:49,4h 40m,non-stop,3247.4,Business,11,Monsoon,Tuesday,Boeing 787 Dreamliner,Mobile App,2,120354.65
FL188466,,Frankfurt,London,,9:30 PM,10:52 PM,1h 23m,0,687.4,Business,43,Winter,Thursday,Airbus A320,Mobile App,1,24441.24
FL132990,BRITISH AIRWAYS,London,New York,,11:30 AM,9:21 PM,591 min,1,5981.3,Economy,143,Summer,Friday,Boeing 777,Travel Agent,3,62146.39
FL183028,Lufthansa,JAI,Dubai,2026-08-29,10:05,13:24,3h 19m,non-stop,2201.3 km,Economy,45,Monsoon,Saturday,Boeing 787 Dreamliner,Third-Party,1,25631.65
FL192243,Emirates,Singapore,DEL,2025-04-26,3:20 PM,10:44 PM,,,4428.7,Economy,16,Summer,Saturday,Boeing 777,Mobile App,2,"Rs. 38,437.84"
FL131508,Etihad Airways,FRA,Ahmedabad,2025-07-24,1:30 PM,23:36,10h 07m,1 stop,6583.9,Economy,93,Monsoon,Thursday,Boeing 787 Dreamliner,Website,3,61003.43
FL145733,Thai Airways,Delhi,Bangkok,2026-07-27,00:50,,6h 42m,2,3060.6,Economy,2,Monsoon,Monday,Airbus A380,Mobile App,1,41644.82
FL179109,Singapore Airlines,JFK,Sydney,2026-01-12,1:45 AM,02:12,24h 28m,2 stops,16663.2,Economy,29,Winter,Monday,Boeing 787 Dreamliner,Mobile App,2,164702.14
FL129837,Emirates,Sydney,JAI,2025-06-12,3:40 AM,19:37,15h 57m,1,10699.1,Economy,0,Monsoon,Thursday,Airbus A380,Travel Agent,6,144339.08
FL109723,Emirates,Mumbai,Frankfurt,2026-11-27,04:15,15:55,11h 41m,2 stops,6949.2,Economy,19,Autumn,Friday,Airbus A380,Travel Agent,4,68825.93
FL126289,Singapore Airlines,BOM,SYD,2026-08-13,14:45,08:18,17h 34m,2 stops,10839.7,Economy,1,Monsoon,Thursday,Airbus A380,Travel Agent,2,179664.86
FL177617,Lufthansa,Dubai,London,2026-09-09,14:05,9:40 PM,7h 36m,non-stop,5531.7,Business,139,Monsoon,Wednesday,Boeing 787 Dreamliner,Mobile App,1,
FL192649,AirAsia India,Delhi,,2026-03-23,08:30,12:16 PM,227 min,1,1628.0,Economy,10,Summer,Monday,ATR 72,Mobile App,3,8886.06
FL162220,AIRASIA INDIA,Chennai,Ahmedabad,2025-10-31,2:00 PM,16:19,2h 19m,non-stop,1421.3,Economy,0,Autumn,Friday,Airbus A320,Mobile App,4,10697.3
FL114571,AirAsia India,Chennai Airport,,2025-11-20,14:30,17:01,2.52,1,534.9,Economy,179,Autumn,Thursday,,Travel Agent,2,2539.76
FL118304,British Airways,Hyderabad Airport,Bangkok,2026-06-01,10:10 PM,1:55 AM,3h 45m,0,2538.5,Premium Economy,4,Monsoon,Monday,Airbus A320,,1,60910.79
FL128976,Etihad Airways,Dubai,Delhi Airport,2025-12-18,07:20,12:13 PM,4h 53m,1,2245.6,Premium Economy,4,Winter,Thursday,Boeing 787 Dreamliner,Travel Agent,1,67774.53
FL116492,THAI AIRWAYS,SIN,London,2026-10-14,09:25,2:29 AM,,2,10931.4,Premium Economy,8,Autumn,Wednesday,Airbus A350,Mobile App,1,124646.76
FL107965,Air India,Pune,Bangalore,2026-08-23,12:20 AM,3:00 AM,2.67,,777.4,Economy,2,Monsoon,Sunday,ATR 72,Third-Party,2,7584.74
FL185040,Lufthansa,New York,Doha,2025-09-21,09:50,02:37,16h 48m,1 stop,11621.2,Economy,39,Monsoon,Sunday,Airbus A380,Airport Counter,1,108526.3
FL121694,AirAsia India,Hyderabad,Mumbai,2025-02-18,7:30 AM,8:51 AM,1h 21m,0,665.5,Business,144,Winter,Tuesday,Boeing 737,Mobile App,3,6401.75
FL132501,British Airways,Singapore,New York Airport,2026-11-28,03:30,02:46,23h 17m,2,15706.2,First,14,Autumn,Saturday,Airbus A350,Travel Agent,1,200000
FL143755,Indigo,Pune,Hyderabad,,6:20 PM,,1h 11m,0,539.3,Premium Economy,16,Summer,Saturday,Airbus A321,Website,1,4949.75
FL169260,Lufthansa,London Airport,Singapore,2026-12-18,20:30,1:02 PM,16h 32m,1 stop,11471.8,Economy,2,Winter,Friday,Boeing 777,Website,1,
FL182346,Indigo,AMD,Kolkata,2026-02-23,17:25,20:03,,non-stop,1675.6,Premium Economy,44,Winter,Monday,ATR 72,Travel Agent,6,12717.12
FL153095,Qatar Airways,JFK,Sydney,2025-05-13,4:40 PM,3:45 PM,23h 06m,1 stop,16244.8,Business,6,Summer,Tuesday,Boeing 787 Dreamliner,Mobile App,,200000
FL182299,SINGAPORE AIRLINES,Dubai,,2025-02-21,18:40,10:39 PM,4h 00m,0,2729.8,Economy,38,Winter,Friday,Airbus A350,Third-Party,2,26902.15
FL181766,GoFirst,Hyderabad,Ahmedabad Airport,2025-09-12,3:00 AM,05:42,2h 43m,1,935.4,Economy,78,Monsoon,Friday,Airbus A321,Mobile App,1,3803.12
FL101388,,SYD,,2026-02-09,00:35,2:36 PM,14h 02m,1 stop,,Economy,10,Winter,Monday,Airbus A320,Mobile App,3,125110.93
FL134321,GoFirst,Goa,Jaipur,2026-10-22,2:50 PM,20:34,5h 45m,2 stops,1316.1,Economy,8,Autumn,Thursday,Boeing 737,Third-Party,2,5775.84
FL167786,AirAsia India,Chennai,Hyderabad,2025-04-12,13:25,14:36,71 min,non-stop,534.5,Economy,10,Summer,Saturday,Airbus A321,Mobile App,2,2425.38
FL182007,Indigo,BLR,HYD,2026-07-03,15:10,,1h 11m,non-stop,529.8,Economy,31,Monsoon,Friday,Airbus A321,Mobile App,2,2000
FL117141,Etihad Airways,Doha,Frankfurt Airport,2026-03-08,02:40,9:19 AM,400 min,0,4806.7,Business,14,,Sunday,Boeing 787 Dreamliner,Mobile App,2,194532.29
FL177557,Emirates,Doha,Dubai,,2:05 AM,03:04,0h 59m,0,381.9,Economy,3,Winter,Tuesday,Airbus A380,Mobile App,1,
FL191547,Emirates,Singapore,CCU,2025-09-01,03:00,8:51 AM,5h 52m,1,2924.9,First,39,Monsoon,Monday,Airbus A350,Website,2,99510.34
FL116403,Qatar Airways,DOH,Hyderabad,2025-11-28,2:55 PM,19:09,4h 15m,0,2922.3,Economy,11,Autumn,,Boeing 777,Airport Counter,1,35092.24
FL126307,AirAsia India,Mumbai,Goa,2025-06-07,01:35,02:38,1h 04m,non-stop,437.1,,61,,Saturday,Boeing 737,Mobile App,1,2927.05
FL138504,AirAsia India,Chennai Airport,,2026-09-05,2:25 PM,4:42 PM,2h 18m,0,1397.6 km,Business,26,Monsoon,Saturday,Boeing 737,Third-Party,3,18849.34
FL104497,airasia india,Goa,Mumbai,2025-03-03,23:40,02:10,151 min,1,452.8,Economy,5,Summer,Monday,Boeing 737,Website,2,2508.32
FL161874,Emirates,Chennai Airport,Dubai,2025-03-01,04:00,8:31 AM,4h 31m,0,3136.4,First,7,Summer,Saturday,Boeing 777,Website,3,
FL189133,,JAI,Hyderabad Airport,2025-01-10,21:50,23:47,1h 57m,0,1136.0,,102,Winter,Friday,Airbus A321,Travel Agent,1,23339.06
FL179142,British Airways,Dubai Airport,Mumbai,2026-06-17,18:35,10:36 PM,4h 01m,1,1946.9,Economy,43,Monsoon,Wednesday,Airbus A320,Airport Counter,1,15000
FL116245,Indigo,Mumbai,Ahmedabad Airport,,15:25,16:29,1h 05m,0,454.9,Economy,44,Winter,Thursday,ATR 72,Website,,2509.67
FL142695,gofirst,Goa Airport,Mumbai,2026-10-06,08:30,11:18 AM,2.81,1,428.8,Economy,93,Autumn,Tuesday,Boeing 737,,3,2000
FL109114,Air India,Hyderabad Airport,BLR,2026-07-15,15:55,17:03,1.14,0,500.6,Economy,45,Monsoon,Wednesday,ATR 72,Third-Party,3,2201.45
FL168317,Indigo,Ahmedabad,Chennai,2025-07-08,1:35 PM,3:58 PM,2.40,0,1478.5,Economy,23,Monsoon,,ATR 72,Website,1,7259.45
FL154144,Singapore Airlines,LHR,,2026-09-15,3:15 PM,04:04,770 min,2,7331.1,Premium Economy,,,Tuesday,Boeing 777,Third-Party,2,110931.44
FL132201,Thai Airways,SIN,Frankfurt Airport,2025-01-17,18:05,08:45,14.67,0,11056.5,Economy,13,Winter,Friday,Boeing 787 Dreamliner,Mobile App,3,200000
FL162498,Thai Airways,BKK,Bangalore,2026-02-27,8:50 PM,12:36 AM,3h 47m,non-stop,2560.5,Economy,105,Winter,Friday,Airbus A320,Website,1,31656.22
FL115021,Lufthansa,New York Airport,DEL,2025-05-31,6:50 AM,23:49,16h 59m,1 stop,11771.0,Economy,19,Summer,Saturday,Airbus A380,Mobile App,2,152483.76
FL148462,,Ahmedabad,Frankfurt,2026-05-07,05:10,16:02,10h 53m,2,6417.9,Economy,98,Summer,Thursday,Airbus A320,Mobile App,6,52700.97
FL120871,BRITISH AIRWAYS,Sydney,,2026-10-10,09:55,00:09,14h 15m,0,10718.5,Economy,28,Autumn,,Airbus A320,Airport Counter,4,174518.5
FL147258,Air India,DOH,Jaipur,2026-09-25,19:35,00:33,4h 59m,1 stop,2600.5,Economy,2,Monsoon,Friday,Airbus A320,Third-Party,1,30002.22
FL187075,Air India,Singapore,London,2025-12-25,6:50 AM,11:26 PM,16h 37m,1,11219.5,Economy,24,Winter,Thursday,Boeing 787 Dreamliner,Website,1,108981.85
FL187846,Thai Airways,Bangkok,PNQ,2026-03-23,19:30,01:45,6h 15m,1 stop,3100.5,Business,24,Summer,Monday,Airbus A320,Third-Party,4,88131.16
FL181239,Indigo,Hyderabad,Kolkata,2025-07-22,23:50,3:07 AM,3h 17m,1,,Economy,8,Monsoon,Tuesday,Boeing 737,Website,1,5995.96
FL154017,SpiceJet,Jaipur Airport,CCU,2026-12-02,21:00,11:17 PM,2h 18m,0,1399.4,Economy,39,Winter,Wednesday,Airbus A321,Third-Party,2,6725.82
FL118386,SINGAPORE AIRLINES,Sydney,Chennai,2026-06-28,08:30,20:52,12h 23m,0,9263.3,Economy,135,Monsoon,Sunday,Airbus A320,Third-Party,2,92434.06
FL141901,Emirates,JAI,Sydney,2026-08-13,12:15 AM,15:47,15h 32m,1,10537.2,Business,,Monsoon,Thursday,Airbus A350,Website,1,200000
FL130502,Indigo,PNQ,Jaipur,2026-05-21,4:00 AM,07:09,189 min,1,991.9,Premium Economy,14,,Thursday,Boeing 737,Website,6,5287.87
FL134209,Etihad Airways,Pune,New York,,09:30,3:43 AM,18h 14m,1 stop,12859.3,Business,25,Summer,Tuesday,Airbus A380,Travel Agent,1,200000
FL105403,GoFirst,CCU,Pune,2025-02-02,5:50 PM,8:27 PM,2h 38m,0,1659.1,Economy,,Winter,Sunday,Airbus A321,Website,1,9765.96
FL128050,Emirates,SIN,New York Airport,2025-02-17,10:40 PM,19:25,,0,15796.7,Economy,9,Winter,Monday,Airbus A350,Website,4,200000
FL184262,Etihad Airways,Singapore,Dubai,2025-02-12,5:55 AM,13:57,8.04,0,5878.8,Premium Economy,37,Winter,Wednesday,Airbus A350,Mobile App,4,85193.87
FL185350,Qatar Airways,Bangkok,Sydney,2025-10-28,12:05 AM,,11h 54m,1,7628.3,Economy,63,Autumn,Tuesday,Boeing 787 Dreamliner,Mobile App,1,58521.92
FL121867,Air India,Goa,,2026-07-26,23:10,00:23,1h 14m,0,566.6,Economy,34,Monsoon,Sunday,ATR 72,Travel Agent,1,3397.73
FL179150,,Goa,MAA,,6:15 AM,7:42 AM,1h 27m,0,744.0,Economy,36,Autumn,Monday,,Third-Party,2,2504.48
FL172924,British Airways,New York,Ahmedabad,2025-05-24,20:45,3:03 PM,18h 19m,1 stop,12987.7,Premium Economy,2,Summer,Saturday,Airbus A350,Website,1,200000
FL112609,British Airways,Doha,Frankfurt Airport,,15:20,22:08,6.81,0,4919.9,,129,Winter,Monday,Airbus A320,Website,1,53218.52
FL125058,SpiceJet,Kolkata Airport,Chennai,2026-03-15,02:00,05:46,3h 47m,1,1394.9,Economy,33,Summer,Sunday,Airbus A320,Mobile App,3,4300.68
FL175634,SpiceJet,Goa,CCU,2026-09-11,05:45,10:10,4h 26m,1,1836.9,Economy,160,Monsoon,Friday,Boeing 737,Website,3,7817.35
FL127654,SpiceJet,Pune,Goa Airport,2025-04-30,08:45,09:43,0h 59m,non-stop,,Economy,135,Summer,Wednesday,Airbus A321,Website,2,2291.85
FL103738,GoFirst,Chennai,Pune,2026-06-14,8:10 PM,23:20,,1,932.8,Economy,33,Monsoon,Sunday,Airbus A321,Website,2,4584.45
FL195466,SpiceJet,CCU,Mumbai,2025-10-14,4:35 PM,,2.76,non-stop,1766.4,Premium Economy,19,Autumn,Tuesday,ATR 72,Website,1,11305.27
FL194337,AirAsia India,Ahmedabad,Mumbai,2026-04-06,1:35 AM,02:40,66 min,0,464.7,Business,12,Summer,Monday,ATR 72,Website,1,8741.66
FL185235,Emirates,Pune,London,2026-12-31,9:30 PM,07:43,10h 13m,0,7579.9,Business,146,Winter,Thursday,Boeing 777,Third-Party,,200000
FL198017,QATAR AIRWAYS,Dubai,Chennai,2026-07-12,1:35 AM,05:55,4h 21m,0,2999.1,Premium Economy,9,Monsoon,Sunday,Airbus A320,Website,1,
FL113717,THAI AIRWAYS,Doha,Pune,2025-06-06,19:15,,5h 13m,1 stop,2567.0 km,First,27,Monsoon,Friday,Boeing 777,Website,2,80627.11
FL100035,Singapore Airlines,Ahmedabad,Frankfurt,2025-09-12,03:40,,8h 33m,0,6278.7,,0,Monsoon,Friday,Airbus A350,Mobile App,3,104697.41
FL153049,Emirates,Goa,Doha,2026-08-16,22:25,2:14 AM,3h 49m,0,2587.6,Economy,133,Monsoon,Sunday,Airbus A380,,1,23067.01
FL102306,thai airways,London Airport,,2025-11-15,11:00 AM,23:05,12h 06m,1 stop,8083.2,Economy,41,Autumn,Saturday,Boeing 787 Dreamliner,Travel Agent,1,80435.92
FL184843,Vistara,Ahmedabad,Dubai Airport,2025-02-09,16:20,20:15,3h 55m,1,1883.5,Economy,38,Winter,Sunday,Boeing 777,Airport Counter,1,15000
FL148136,Indigo,Ahmedabad,Mumbai,2026-10-17,18:05,20:47,2h 42m,1 stop,449.7,Economy,124,Autumn,Saturday,Boeing 737,Website,1,2195.29
FL139215,AirAsia India,Pune,Chennai,2026-04-30,11:35 PM,2:23 AM,2h 48m,1 stop,,Economy,6,Summer,Thursday,Airbus A321,Travel Agent,1,948862.95
FL111735,Thai Airways,Bangalore,Bangkok,2025-07-04,21:20,02:07,287 min,1 stop,2498.7,Economy,7 days,Monsoon,Friday,Airbus A350,Travel Agent,1,33535.98
FL105112,SpiceJet,Bangalore,Chennai,2025-07-06,00:10,01:04,54 min,0,313.1,First,7,Monsoon,Sunday,Boeing 737,Website,1,9967.23
FL185807,,Goa,Hyderabad,2025-11-29,08:55,10:07 AM,73 min,0,557.9,Premium Economy,178,Autumn,Saturday,Airbus A320,Website,4,4337.76
FL177034,Etihad Airways,BOM,New York Airport,2026-07-17,17:25,10:03 AM,16h 39m,non-stop,12593.2,,165,Monsoon,,Airbus A380,Website,3,
FL138135,Emirates,Goa Airport,Doha,2025-09-17,23:20,5:48 AM,6h 28m,,2679.5,Premium Economy,4,Monsoon,Wednesday,Airbus A320,,1,31961.29
FL175322,Lufthansa,Chennai,Singapore Airport,2026-08-08,14:25,7:49 PM,5h 24m,1 stop,2940.3,Economy,11,Monsoon,Saturday,Airbus A350,Mobile App,1,35596.47
FL111251,Indigo,Kolkata,Pune Airport,2025-04-03,06:20,10:00,3h 41m,1,1697.1,Economy,139,Summer,Thursday,Airbus A321,Travel Agent,1,7107.58
FL159613,British Airways,DXB,Frankfurt,,07:00,3:09 PM,,1,5073.2,Economy,17,Autumn,Friday,Airbus A350,,1,71549.02
FL151293,qatar airways,Doha,,2026-12-05,22:30,04:29,6h 00m,1,3063.0,Economy,13,Winter,Saturday,Airbus A320,Mobile App,3,
FL197190,Thai Airways,Doha,,2026-05-14,7:35 AM,11:35 AM,4h 00m,non-stop,2730.5,,69,Summer,Thursday,Airbus A380,Website,2,25454.89
FL101322,British Airways,,Singapore,2025-10-12,17:15,2:56 AM,582 min,1 stop,6088.7,Economy,0,Autumn,Sunday,Airbus A350,Travel Agent,4,98388.93
FL148511,Singapore Airlines,Bangkok,Delhi,2025-11-15,05:15,10:47 AM,5h 32m,1 stop,3063.0,Economy,39,Autumn,Saturday,Boeing 787 Dreamliner,Website,1,
FL183160,singapore airlines,Singapore,Kolkata,2026-04-25,8:00 AM,15:50,7h 50m,2,2934.3,Economy,0,Summer,Saturday,Boeing 787 Dreamliner,Travel Agent,1,57744.05
FL133738,Singapore Airlines,Goa,Singapore Airport,2026-11-10,11:00 PM,04:25,5h 25m,0,3837.5,Economy,8,Autumn,Tuesday,Boeing 787 Dreamliner,Airport Counter,1,50839.84
FL112263,etihad airways,DXB,Ahmedabad Airport,2026-04-27,8:35 AM,12:43 PM,4h 08m,1,1868.3,Economy,1,Summer,Monday,Airbus A380,Third-Party,5,29757.91
FL142614,Thai Airways,HYD,FRA,2026-10-26,00:10,,10h 02m,non-stop,7434.5,,34,Autumn,Monday,Airbus A350,Website,3,97457.18
FL104525,Air India,Bangalore,Delhi,,8:15 AM,12:46,4h 31m,1,1801.7,Economy,1,Monsoon,Thursday,Airbus A321,Travel Agent,1,13265.54
FL176515,Lufthansa,LHR,,2026-01-01,03:05,15:48,12h 44m,1 stop,8174.1,Economy,19,Winter,Thursday,Airbus A350,Mobile App,1,80257.53
FL143603,Indigo,Pune,Ahmedabad,2025-04-04,06:20,8:48 AM,2h 28m,1,523.0,Premium Economy,30,Summer,Friday,ATR 72,Website,6,5226.85
FL153224,gofirst,Ahmedabad,HYD,2026-03-20,9:55 PM,23:35,1h 41m,0,921.5,First,77,Summer,Friday,ATR 72,Website,2,14838.69
FL167655,Singapore Airlines,Singapore,DEL,2026-08-01,11:40 PM,05:41,361 min,non-stop,4303.8,Business,13,,Saturday,Airbus A320,Mobile App,,"Rs. 200,000.00"
FL166339,Qatar Airways,Chennai,Bangkok,2026-12-03,8:35 AM,11:59,3h 25m,non-stop,2274.9,Economy,33,Winter,Thursday,Airbus A320,Airport Counter,3,35364.46
FL167348,Etihad Airways,Bangkok,Jaipur,2025-04-27,10:20 AM,14:42,4h 22m,non-stop,3017.9,Economy,99,Summer,Sunday,Airbus A380,Mobile App,,31575.76
FL119350,Vistara,London,Delhi,2026-12-28,14:30,01:18,10.80,1 stop,6901.6,Economy,15 days,Winter,Monday,Airbus A350,Website,1,40233.7
FL128825,singapore airlines,London,Bangkok,2025-08-28,22:00,12:35,14h 35m,1 stop,10091.9,,39,Monsoon,Thursday,Boeing 787 Dreamliner,Travel Agent,2,"Rs. 193,656.13"
FL106274,Thai Airways,Frankfurt,Hyderabad,2026-12-20,07:25,5:40 PM,10h 15m,non-stop,7609.9,Economy,,Winter,Sunday,Boeing 787 Dreamliner,Third-Party,3,200000
FL126302,Emirates,JFK,Bangalore,2025-10-21,07:10,4:52 AM,21.71,2,14146.8,Economy,128,Autumn,Tuesday,Airbus A350,,1,74530.97
FL185162,Etihad Airways,LHR,Frankfurt,2026-06-14,16:00,5:19 PM,1h 19m,non-stop,641.9,Economy,9,Monsoon,Sunday,Airbus A350,Website,2,15000
FL172244,Etihad Airways,Singapore,Bangalore,2025-07-26,21:25,04:43,7h 19m,2,,Economy,24,Monsoon,Saturday,Boeing 787 Dreamliner,Travel Agent,2,31970.33
FL123867,Vistara,Mumbai,Hyderabad,2025-12-23,01:00,2:17 AM,1.30,non-stop,621.8,Business,44,Winter,Tuesday,Boeing 737,Travel Agent,2,10995.25
FL131705,Thai Airways,Dubai Airport,London,2025-11-08,03:05,10:52,467 min,0,5686.3,Economy,9,Autumn,Saturday,Boeing 777,Website,3,63310.59
FL134853,,BKK,London,,11:30,2:12 AM,14.70,1,9783.1,Economy,67,Summer,Sunday,Airbus A350,Website,1,131149.05
FL162999,Lufthansa,Singapore,,,2:15 AM,18:22,16h 07m,1 stop,10956.9 km,Economy,2,Winter,Sunday,Airbus A320,Mobile App,2,167048.9
